"","Unique","Ewatch","Prog","SWFW","Year","Date","DOY","days","Stock","Stock_Analysis","Stock_Region","Stock_Group","Stock_Area","SEASON1","Length","Mass","K","logK","Sex","Catch_Region","Zone","Latitude","Longitude","Tissue","LOD","Value","hkg","ae_hyd","ae_sal","arena1","arena2","ascv","aspv","c_b_cys","ce_sha","cov","cr_sal","ctv","de_sal","fa_mar","fl_psy","gy_sal","ic_hof","ic_mul","ihnv","ipnv","isav7","isav8","ku_thy","lo_sal","mitov","mo_vis","my_arc","my_cer","my_ins","na_sal","ne_per","omv","ortho","pa_kab","pa_min","pa_pse","pa_ther","pch_sal","pisck_sal","pmcv","prv","pspv","re_sal","reov","rlo","sav","sch","sgpx","smallUK","sp_des","sp_sal","te_bry","te_mar","toti","ven","ver","vhsv","vi_ang","vi_sal","ye_ruc_glnA"
"319","1000-0023-118-5871",0,"HS","SW",2010,"24-Jun-10",175,646,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",152,34,0.968162269,-3.014051847,"F","Northern","ECVI",51.072,-128.727,"Mixed","NO","AvgCopy",6.45e+14,NA,0,0,0,0,NA,264.4785125,0,0,0,0,4.18034058,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,97352.1834,NA,0,0,0,NA,0,0,43.76597065,0.119145536,18.97724309,0,0,NA,0,547.7590182,0,0,0,NA,5.709650756,0,0,0,NA,0,0,0,0,0,0,0,0,0
"320","1000-0023-118-5872",0,"HS","SW",2010,"24-Jun-10",175,646,"Rossette","E.Stuart","Upper Fraser","Upper Fraser","Fraser","Summer",144,28,0.937714335,-3.027929445,"F","Northern","ECVI",51.072,-128.727,"Mixed","NO","AvgCopy",2.21e+11,NA,0,0,0,0,NA,11001.36411,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,24.72572,NA,0,0,0,NA,0,0,35646.52844,0,25.07428006,0,0,NA,0,8419.014939,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"321","1000-0023-118-5877",0,"HS","SW",2010,"24-Jun-10",175,646,"Thompson N","North Thompson","Thompson","Thompson","Thompson","Summer",123,15,0.806075878,-3.093624075,"M","Northern","ECVI",51.278,-128.336,"Mixed","NO","AvgCopy",2.85e+14,NA,0,0,0,0,NA,0.622850846,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,14.11455901,NA,0,0,0,NA,0,0,52233.81867,0,88.74399986,0,0,NA,0,8.63537274,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"322","1000-0023-118-5878",0,"HS","SW",2010,"24-Jun-10",175,646,"Gates Cr","Gates","Middle Fraser","Middle Fraser","Fraser","Summer",136,23,0.91434714,-3.038888889,"F","Northern","ECVI",51.278,-128.336,"Mixed","NO","AvgCopy",6.19e+17,NA,0,0,0,0,NA,7.540098108,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,6.644451954,NA,0,0,0,NA,0,0,82175.94167,0,54.14218125,0,0,NA,0,2873.491732,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"323","1000-0023-118-5879",0,"HS","SW",2010,"24-Jun-10",175,646,"DollyVarden Cr","Chilliwack","Lower Fraser","Lower Fraser","Fraser","Summer",136,21,0.834838693,-3.07839743,"F","Northern","ECVI",51.278,-128.336,"Mixed","NO","AvgCopy",7.25e+12,NA,0,0,0,0,NA,11284.38019,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,22873.52592,NA,0,0,0,NA,0,0,15546402.56,0,27.20835102,0,0,NA,0,92.9878775,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"348","1000-0023-118-5959",0,"HS","SW",2010,"01-Jul-10",182,653,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",154,36,0.985689972,-3.006259662,"M","Northern","ECVI",51.397,-129.137,"Mixed","NO","AvgCopy",1715878894,NA,0,0,0,0,NA,2530.288157,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,65915.12839,NA,0,0,0,NA,0,0,314089.0794,0,50.41730389,0,0,NA,0,37.66171278,0,0,0,NA,10.2343805,0,0,0,NA,0,0,0,0,0,0,0,0,0
"349","1000-0023-118-5960",0,"HS","SW",2010,"01-Jul-10",182,653,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",138,24,0.913216989,-3.039426017,"F","Northern","ECVI",51.397,-129.137,"Mixed","NO","AvgCopy",1.58e+16,NA,0,1.824655431,39.95497777,0,NA,5305.820055,0,0,0,0,0,0,0,NA,112.7044498,0,0,NA,NA,NA,0,0,0,NA,19717.7465,NA,0,0,0,NA,0,0,18.98477669,0,41.2881449,0,0,NA,0,1804.836797,0,0,0,NA,6.157271016,0,0,0,NA,0,0,0,0,0,0,0,0,0
"350","1000-0023-118-5961",0,"HS","SW",2010,"01-Jul-10",182,653,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",148,32,0.987108365,-3.005635168,"M","Northern","ECVI",51.397,-129.137,"Mixed","NO","AvgCopy",4.66e+13,NA,0,0,0.965261346,0,NA,13058.89964,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,227804.7427,NA,0,0,0,NA,0,0,5.096290473,50.89032632,25.36638633,0,0,NA,0,6140.564442,0,0,0,NA,35.29004081,0,0,0,NA,0,0,0,0,0,0,0,0,0
"351","1000-0023-118-5962",0,"HS","SW",2010,"01-Jul-10",182,653,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",140,26,0.947521866,-3.023410759,"F","Northern","ECVI",51.397,-129.137,"Mixed","NO","AvgCopy",9.74e+15,NA,0,0,0,0,NA,1778.877269,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,65988.00094,NA,0,0,0,NA,0,0,369.9674709,0,18.40788433,0,0,NA,0,449.5273512,0,0,0,NA,3.339572095,0,0,0,NA,0,0,0,0,0,0,0,0,0
"353","1000-0023-118-5964",0,"HS","SW",2010,"01-Jul-10",182,653,"Weaver","Weaver","Lower Fraser","Lower Fraser","Fraser","Summer",136,24,0.954101364,-3.020405483,"F","Northern","ECVI",51.328,-128.907,"Mixed","NO","AvgCopy",8.647461517,NA,0,0,0,0,NA,160207.0407,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,5.770688695,NA,0,0,0,NA,0,0,6828949.421,0,39.10013201,0,0,NA,0,249.7191671,0,0,0,NA,11.07804974,0,0,0,NA,0,0,0,0,0,0,0,0,0
"354","1000-0023-118-5965",0,"HS","SW",2010,"01-Jul-10",182,653,"DollyVarden Cr","Chilliwack","Lower Fraser","Lower Fraser","Fraser","Summer",138,24,0.913216989,-3.039426017,"M","Northern","ECVI",51.328,-128.907,"Mixed","NO","AvgCopy",1284.805251,NA,0,0,0,0,NA,159463.2229,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,118317.1651,0,5.689639983,0,0,NA,0,27.59279912,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"355","1000-0023-118-5966",0,"HS","SW",2010,"01-Jul-10",182,653,"U Horsefly","Quesnel","Middle Fraser","Middle Fraser","Fraser","Summer",125,19,0.9728,-3.011976438,"F","Northern","ECVI",51.328,-128.907,"Mixed","NO","AvgCopy",0.861827726,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0.051245092,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,3873622.453,0,20.82870112,0,0,NA,0,13.94701007,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"356","1000-0023-118-5967",0,"HS","SW",2010,"01-Jul-10",182,653,"DollyVarden Cr","Chilliwack","Lower Fraser","Lower Fraser","Fraser","Summer",135,23,0.934816847,-3.029273469,"M","Northern","ECVI",51.328,-128.907,"Mixed","NO","AvgCopy",0.004431735,NA,0,0,0,0,NA,31574.24702,0,0,0,0,25.3372584,0,0,NA,2.107778044,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,9211149.756,0,28.23143247,0,0,NA,0,20.26391134,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"357","1000-0023-118-5968",0,"HS","SW",2010,"01-Jul-10",182,653,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",138,24,0.913216989,-3.039426017,"M","Northern","ECVI",51.29,-128.76,"Mixed","NO","AvgCopy",1726.46975,NA,0,0,0,0,NA,464.7602764,0,0,0,0,4.956611256,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,290771.924,NA,0,0,0,NA,0,0,500.456397,0,10.90602365,0,0,NA,0,5471.493794,0,0,0,NA,3.086193156,0,0,0,NA,0,0,0,0,0,0,0,0,0
"358","1000-0023-118-5969",0,"HS","SW",2010,"01-Jul-10",182,653,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",128,19,0.905990601,-3.042876308,"F","Northern","ECVI",51.29,-128.76,"Mixed","NO","AvgCopy",10.555247,NA,0,0,0,0,NA,4964.191959,10.20342537,0,0,0,56.33007252,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,235900.4608,NA,0,0,0,NA,0,0,278.7283039,0,0,0,0,NA,0,5029.06696,0,0,0,NA,11.85040211,0,0,0,NA,0,0,0,0,0,0,0,0,0
"359","1000-0023-118-5970",0,"HS","SW",2010,"01-Jul-10",182,653,"Washwash","Central Coast","Central Coast","Central Coast","Central Coast","Summer",109,13,1.003838524,-2.998336142,"M","Northern","ECVI",51.29,-128.76,"Mixed","NO","AvgCopy",0.058778307,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,199164.1767,NA,0,0,0,NA,0,0,182.9044765,0,1.074139903,0,0,NA,0,19.21766272,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"360","1000-0023-118-5971",0,"HS","SW",2010,"01-Jul-10",182,653,"Birkenhead","Birkenhead","Lower Fraser","Lower Fraser","Fraser","Summer",127,20,0.976379906,-3.010381167,"M","Northern","ECVI",51.29,-128.76,"Mixed","NO","AvgCopy",1.37e-05,NA,0,0,0,0,NA,815.9333537,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,1.246059151,0,NA,0,NA,0,0,0,NA,0,0,95709.05167,0,26.74841234,0,0,NA,0,9.593433978,0,0,0,NA,12.05694993,0,0,0,NA,0,0,0,0,0,0,0,0,0
"361","1000-0023-118-5972",0,"HS","SW",2010,"01-Jul-10",182,653,"Birkenhead","Birkenhead","Lower Fraser","Lower Fraser","Fraser","Summer",135,24,0.975461058,-3.010790064,"F","Northern","ECVI",51.29,-128.76,"Mixed","NO","AvgCopy",3.32e-17,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,0,0,4704905.441,0,3.631065509,0,0,NA,0,10.21454933,0,0,0,NA,31.29176364,0,0,14.09409781,NA,0,0,0,0,0,0,0,0,0
"362","1000-0023-118-5973",0,"HS","SW",2010,"02-Jul-10",183,654,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",128,17,0.810623169,-3.091180988,"F","Northern","Northern",51.021,-127.933,"Mixed","NO","AvgCopy",0.001936468,NA,0,0,0,0,NA,32785.42255,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,52202.35057,NA,0,0,0,NA,0,0,8349796.113,0,6.244660674,0,0,NA,0,3.371093126,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"363","1000-0023-118-5974",0,"HS","SW",2010,"02-Jul-10",183,654,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",127,15,0.732284929,-3.135319904,"M","Northern","Northern",51.021,-127.933,"Mixed","NO","AvgCopy",0.404685966,NA,0,0,0,0,NA,875.7347932,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,2.314561024,NA,0,0,0,NA,0,0,1957.895049,0,2.127238418,0,0,NA,0,6.283251593,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"364","1000-0023-118-5977",0,"HS","SW",2010,"02-Jul-10",183,654,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",143,22,0.75234072,-3.123585432,"F","Northern","Northern",50.955,-127.754,"Mixed","NO","AvgCopy",1.48e-07,NA,0,0,41.64656771,0,NA,14836.19159,0,0,0,0,0,0.725030272,0,NA,0,0,0,NA,NA,NA,0,0,0,NA,2295315.174,NA,0,0,0,NA,0,7.3434111,89.36215065,9.31222913,33.25005807,0,0,NA,0,3982.304778,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
