Unique,Ewatch,Prog,SWFW,Year,Date,DOY,days,Stock,Stock_Analysis,Stock_Region,Stock_Group,Stock_Area,SEASON1,Length,Mass,K,logK,Sex,Catch_Region,Zone,Latitude,Longitude,Tissue,LOD,Value,hkg,ae_hyd,ae_sal,arena1,arena2,ascv,aspv,c_b_cys,ce_sha,cov,cr_sal,ctv,de_sal,fa_mar,fl_psy,gy_sal,ic_hof,ic_mul,ihnv,ipnv,isav7,isav8,ku_thy,lo_sal,mitov,mo_vis,my_arc,my_cer,my_ins,na_sal,ne_per,omv,ortho,pa_kab,pa_min,pa_pse,pa_ther,pch_sal,pisck_sal,pmcv,prv,pspv,re_sal,reov,rlo,sav,sch,sgpx,smallUK,sp_des,sp_sal,te_bry,te_mar,toti,ven,ver,vhsv,vi_ang,vi_sal,ye_ruc_glnA
1000-0018-118-0808,0,HS,SW,2008,19-Oct-08,293,33,Gingit RT,Nass,Nass,Nass,Northern,Fall,186,67,1.041204341,-2.98246403,M,Northern,Northern,54.786,-130.312,Mixed,NO,AvgCopy,1.083357493,,0,0,0,0,,6.399633546,0,0,0,0,0,0,0,,98.39012796,0,0,,,,0,0,0,,72.18619193,,0,0,0,,0,0,0,0,165.1595581,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0809,0,HS,SW,2008,19-Oct-08,293,33,Gingit RT,Nass,Nass,Nass,Northern,Fall,171,49,0.979958646,-3.008792251,M,Northern,Northern,54.786,-130.312,Mixed,NO,AvgCopy,0.005808901,,0,0,0,0,,0,0,0,0,0,0,0,0,,421.4984504,0,0,,,,0,0,0,,349.702416,,0,0,0,,0,0,15.26687159,0,539.8166916,0,0,,0,0,0,0,0,,1.47397934,0,0,0,,0,0,0,0.672602116,0,0,0,0,0
1000-0018-118-0810,0,HS,SW,2008,19-Oct-08,293,33,Great Central,VI,VI,VI,VI,Fall,188,64,0.963177716,-3.016293574,M,Northern,Northern,54.786,-130.312,Mixed,NO,AvgCopy,0.058686502,,0,0,0,0,,8768.560107,0,0,0,0,0,0,0,,216.3758917,0,0,,,,0,0,0,,3765308.26,,0,0,0,,0,0,0,1.011166598,52.14998093,0,0,,0,0,0,0,0,,0,0,0.060107054,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0815,0,HS,SW,2008,19-Oct-08,293,33,Henderson,VI,VI,VI,VI,Fall,189,66,0.97759399,-3.009841477,F,Northern,Northern,54.724,-130.419,Mixed,NO,AvgCopy,0.001116643,,0,0,0,0,,1035.251323,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,4733089.021,,0,0,0,,0,0,0,487.815341,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0817,0,HS,SW,2008,19-Oct-08,293,33,Great Central,VI,VI,VI,VI,Fall,191,71,1.018962607,-2.991841753,M,Northern,Northern,54.724,-130.419,Mixed,NO,AvgCopy,0.020215463,,0,0,0,0,,8396.479312,0,0,0,0,0,0.234776863,0,,9.053463759,0,0,,,,0,0,0,,9602416.055,,0,0,0,,0,0,5.406712523,138480.5158,0,0,0,,0,0,0,0,0,,0,0,0,22.87293512,,0,0,0,0,0,0,0,0,0
1000-0018-118-0818,0,HS,SW,2008,19-Oct-08,293,33,Neechanz,Central Coast,Central Coast,Central Coast,Central Coast,Fall,184,65,1.043421756,-2.981540112,M,Northern,Northern,54.724,-130.419,Mixed,NO,AvgCopy,1.697262393,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,1705572.711,,0,0,0,,0,0,0,22367.00812,509.541608,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0819,0,HS,SW,2008,19-Oct-08,293,33,Great Central,VI,VI,VI,VI,Fall,176,54,0.990502911,-3.004144244,M,Northern,Northern,54.724,-130.419,Mixed,NO,AvgCopy,4.710922947,,0,0,0,0,,325.6354122,0,0,0,0,0,0,0,,43.28580486,0,0,,,,0,0,0,,4472322.805,,0,0,0,,0,0,0,3969.510796,15.0733,0,0,,0,283.4821617,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0826,0,HS,SW,2008,19-Oct-08,293,33,,,,,,Fall,190,72,1.049715702,-2.978928306,M,Northern,Northern,54.611,-130.569,Mixed,NO,AvgCopy,12.68612202,,0,0,0,0,,584.7619575,0,0,0,0,0,0,0,,21.16317719,0,0,,,,0,0,0,,7.235945061,,0,0,0,,0,0,7.364144132,37.93594081,26.45957576,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,5.13661569,0,0,0,0,0
1000-0018-118-0900,0,HS,SW,2008,23-Oct-08,297,37,Nimpkish L,VI,VI,VI,VI,Fall,152,35,0.996637629,-3.001462719,M,VIN,ECVI,50.797,-127.397,Mixed,NO,AvgCopy,5.165043884,,0,0,0,0,,267.2614957,0,0,0,0,0,0,0,,524.4013002,0,0,,,,0,0,0,,0,,0,0,0,,0,0,918.0728819,0,92.17034229,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0901,0,HS,SW,2008,23-Oct-08,297,37,Nimpkish L,VI,VI,VI,VI,Fall,157,37,0.956098786,-3.019497233,M,VIN,ECVI,50.797,-127.397,Mixed,NO,AvgCopy,0.118768732,,0,0,0,0,,13945.54461,0,0,0,0,0,0,0,,1955.986282,0,0,,,,0,0,0,,0,,0,0,0,,0,0,4.50702922,74.14640871,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0916,0,HS,SW,2008,23-Oct-08,297,37,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Fall,125,19,0.9728,-3.011976438,M,VIN,ECVI,50.509,-126.509,Mixed,NO,AvgCopy,0.030693555,,0,0,0,0,,7.93983395,0,0,0,0,0,0,0,,17357555.69,0,0,,,,0,0,0,,20692139.27,,0,0,0,,0,0,1609190.061,0.445311924,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0925,0,HS,SW,2008,24-Oct-08,298,38,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Fall,165,48,1.068536606,-2.971210595,F,VIS,ECVI,49.64,-124.566,Mixed,NO,AvgCopy,0.003179189,,0,0,0,0,,0,0,0,0,0,0,0,0,,284.2709039,0,0,,,,0,0,0,,3652892.286,,0,0,0,,0,0,1050464.773,0,91.78127895,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0932,0,HS,SW,2008,25-Oct-08,299,39,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Fall,145,29,0.951248514,-3.021706009,F,VIS,ECVI,49.695,-124.248,Mixed,NO,AvgCopy,0.251985528,,0,0,0,0,,0,0,,0,0,0,0,0,,0,0,0,,,,0,0,0,,5267369.297,,0,0,0,,0,0,312099.1037,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0933,0,HS,SW,2008,25-Oct-08,299,39,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Fall,145,32,1.049653532,-2.978954028,F,VIS,ECVI,49.695,-124.248,Mixed,NO,AvgCopy,0.009485559,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,2797391.561,,0,0,0,,0,0,2162925.738,0,160.0618334,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0936,0,HS,SW,2008,05-Nov-08,310,50,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,167,45,0.96619125,-3.0149369,M,VIS,ECVI,49.206,-123.669,Mixed,NO,AvgCopy,0.038251201,,0,0,0,0,,37.27940675,0,0,0,0,0,0,0,,15.73675663,0,0,,,,0,0,0,,7426603.214,,0,0,0,,,0,8.337129024,4.173137162,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0940,0,HS,SW,2008,05-Nov-08,310,50,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,144,27,0.904224537,-3.043723712,M,VIS,ECVI,49.209,-123.465,Mixed,NO,AvgCopy,9.891353796,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,7306458.49,,0,0,0,,0,0,456499.5389,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0944,0,HS,SW,2008,05-Nov-08,310,50,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,150,32,0.948148148,-3.023123799,M,VIS,ECVI,49.199,-123.341,Mixed,NO,AvgCopy,0.255054704,,0,0,0,0,,0,0,0,0,0,0,0,1.387877206,,6.373114069,0,0,,,,0,0,0,,19476254.68,,0,0,0,,0,0,1387073.983,0,0,0,0,,0,0,0,0,0,,0,0,0.106576623,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0946,0,HS,SW,2008,05-Nov-08,310,50,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,120,15,0.868055556,-3.061452479,M,VIS,ECVI,49.12,-123.381,Mixed,NO,AvgCopy,0.145634739,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,10592793.12,,0,0,0,,0,0,5948739.047,0,0,0,0,,0,0,0,0,5.360353581,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0949,0,HS,SW,2008,05-Nov-08,310,50,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,149,35,1.058057425,-2.975490761,M,VIS,ECVI,49.115,-123.486,Mixed,NO,AvgCopy,0.166152548,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,4868188.019,,0,0,0,,0,0,8279185.862,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,15.75741961,0,0,0,0,0,0,0
1000-0018-118-0950,0,HS,SW,2008,05-Nov-08,310,50,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,145,30,0.984050187,-3.006982752,M,VIS,ECVI,49.115,-123.486,Mixed,NO,AvgCopy,7.116061425,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,19790005.85,,0,0,0,,0,0,1917738.914,0,19.0662951,0,0,,0,0,0,0,0,,0,0,0,0,,0,0.359346546,0,0,0,0,0,0,0
1000-0018-118-0951,0,HS,SW,2008,05-Nov-08,310,50,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,155,35,0.939881172,-3.02692705,M,VIS,ECVI,49.115,-123.486,Mixed,NO,AvgCopy,47.27066332,,0,0,0,0,,0,0,0,0,0,0,0,0,,214.9667751,0,0,,,,0,0,0,,8358117.715,,0,0,0,,0,0,141380.7699,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0952,0,HS,SW,2008,05-Nov-08,310,50,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,144,30,1.00469393,-2.997966222,M,VIS,ECVI,49.115,-123.486,Mixed,NO,AvgCopy,99.68861922,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,3705608.353,,0,0,0,,0,0,203.8914326,0,361.4641785,0,0,,0,0,0,0,0,,0,0,0,0,,0,4.088319747,0,0,0,0,0,0,0
1000-0018-118-0953,0,HS,SW,2008,05-Nov-08,310,50,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,139,27,1.005354818,-2.997680637,M,VIS,ECVI,49.115,-123.486,Mixed,NO,AvgCopy,0.001560799,,0,0,0,0,,7.329664287,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,24622304.7,,0,0,0,,0,0,63.25869185,50.64333905,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0954,0,HS,SW,2008,05-Nov-08,310,50,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,137,28,1.088920891,-2.96300367,M,VIS,ECVI,49.115,-123.486,Mixed,NO,AvgCopy,0.36955031,,0,0,0,0,,3644.779222,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,12986231.7,,0,0,0,,0,0,1568751.572,0,5.230116509,0,0,,0,0,0,0,0,,0,0,0,0,,0,0.567544669,0,0,0,0,0,0,0
1000-0018-118-0962,0,HS,SW,2008,06-Nov-08,311,51,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,142,26,0.908046973,-3.041891685,F,WCVI,WCVI,48.291,-123.595,Mixed,NO,AvgCopy,0.15268658,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,18555549.92,,0,0,0,,0,0,6788908.112,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0963,0,HS,SW,2008,06-Nov-08,311,51,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,143,27,0.923327247,-3.034644348,M,WCVI,WCVI,48.291,-123.595,Mixed,NO,AvgCopy,345.3720297,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,5874318.575,,0,0,0,,0,0,310234.754,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0964,0,HS,SW,2008,06-Nov-08,311,51,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,136,22,0.874592917,-3.058194044,M,WCVI,WCVI,48.291,-123.595,Mixed,NO,AvgCopy,0.009074202,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,16476312.92,,0,0,0,,0,0,4995227.052,0,298.1752857,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0965,0,HS,SW,2008,06-Nov-08,311,51,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,130,19,0.864815658,-3.063076456,F,WCVI,WCVI,48.291,-123.595,Mixed,NO,AvgCopy,0.005346416,,0,0,0,0,,1.214993978,0,0,0,0,0,0,0,,6.599545117,0,0,,,,0,0,0,,9091229.508,,0,0,0,,0,0,2353598.893,0,8.707787404,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0966,0,HS,SW,2008,06-Nov-08,311,51,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,145,28,0.918446841,-3.036945975,M,WCVI,WCVI,48.291,-123.595,Mixed,NO,AvgCopy,0.021112436,,0,0,0,0,,0,0,0,0,0,0,0,0,,4.782078219,0,0,,,,0,0,0,,5477842.087,,0,0,0,,0,0,3104520.185,0,30.70294749,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0967,0,HS,SW,2008,06-Nov-08,311,51,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,130,21,0.955848885,-3.019610762,F,WCVI,WCVI,48.291,-123.595,Mixed,NO,AvgCopy,5.884118637,,0,0,0.063377796,0,,0,0,0,0,0,0,0,0,,1.594002865,0,0,,,,0,0,0,,2992568.772,,0,0,0,,0,0,1398171.257,0,0,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0970,0,HS,SW,2008,06-Nov-08,311,51,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,146,27,0.86757134,-3.061694803,M,WCVI,WCVI,48.342,-123.864,Mixed,NO,AvgCopy,323.7779055,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,4294762.972,,0,0,0,,0,0,1841664.266,0,0,0,0,,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0971,0,HS,SW,2008,06-Nov-08,311,51,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,130,19,0.864815658,-3.063076456,M,WCVI,WCVI,48.391,-124.051,Mixed,NO,AvgCopy,0.051605265,,0,0,0,0,,1.169269291,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,,11152.20293,,0,0,0,,0,0,531517.4501,0,100.9440371,0,0,,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-0985,0,HS,SW,2008,06-Nov-08,311,51,Harrison,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Harrison-Widgeon,Overwinter,132,21,0.913056182,-3.039502499,M,WCVI,WCVI,48.514,-124.498,Mixed,NO,AvgCopy,1.284434156,,0,0,0,0,,1.606023809,23.21205326,0,0,0,0,0,0,,4.674452603,0,0,,,,0,0.979888806,0,,1028142.715,,0,0,0,,0,0,2634425.005,0,0.247444503,0,0,,0,0,0,0,3741.368134,,8.292192676,0,0.08578229,0,,0,0,0,0,0,0,0,0,0
1000-0018-118-1049,0,HS,SW,2008,09-Nov-08,314,54,Great Central,VI,VI,VI,VI,Overwinter,200,78,0.975,-3.010995384,F,WCVI,WCVI,49.875,-126.762,Mixed,NO,AvgCopy,0.379452482,,0,0,0,0,,174.8458104,0,0,0,0,0,0,122.2872551,,0,0,0,,,,0,1.866687826,0,,4575396.898,,0,0,0,,0,0,32.16675021,0,0,0,0,,7.829493098,0,0,0,0,,0,0,0,0,,0,0,0,8.646365532,0,0,0,0,0
